datetime;T_mu;Po_mu;P_mu;Ff_mu;Tn_mu;Tx_mu;VV_mu;Td_mu;T_var;Po_var;P_var;Ff_var;Tn_var;Tx_var;VV_var;Td_var
2006-09-20;14,487500000000002;751,3;751,6375;3,5;13,3;15,95;11,425;12,549999999999999;0,9269642857142856;1,0085714285714753;0,9798214285714614;1,1428571428571428;0,31999999999999984;4,204999999999996;155,59071428571428;1,9942857142857189
2006-09-21;14,187500000000002;758,0625;758,3625000000001;3,625;11,2;15,95;27,5;11,025;4,8012500000000005;7,965535714285631;7,679821428571173;0,26785714285714285;5,780000000000004;6,125;147,14285714285717;1,942142857142859
2006-09-22;15,3;762,1125;762,4375000000001;3,0;13,15;16,7;12,875;12,875;3,754285714285711;1,824107142857077;1,7426785714285253;0,8571428571428571;1,4449999999999987;10,580000000000002;23,553571428571434;0,1221428571428571
2006-09-23;14,025;766,4;766,7624999999999;2,5;12,0;16,65;7,2;12,5;4,896428571428572;0,4171428571429182;0,43124999999996066;0,2857142857142857;0,18000000000000085;10,124999999999996;35,97428571428571;0,9685714285714276
2006-09-24;14,274999999999999;764,7125;765,05;3,25;12,55;15,8;10,625;12,474999999999998;3,6592857142857125;1,6726785714283963;1,6800000000000885;0,7857142857142858;3,6450000000000005;3,9199999999999946;16,267857142857142;1,005
2006-09-25;12,5125;765,9625;766,2875;3,0;11,65;14,05;26,5875;8,9375;1,2812500000000018;4,731249999999761;4,829821428571354;0,5714285714285715;2,645000000000002;0,40500000000000114;472,26982142857145;16,594107142857137
2006-09-26;11,0;767,3285714285714;767,6428571428571;3,142857142857143;9,8;12,25;37,285714285714285;7,014285714285714;2,5166666666666657;2,0990476190477643;2,072857142857185;1,80952380952381;0,9799999999999992;4,204999999999996;246,57142857142856;6,884761904761902
2006-09-27;13,5875;761,2375;761,575;2,75;12,0;14,95;5,4625;12,737499999999999;2,172678571428574;3,27696428571419;3,2678571428570047;0,21428571428571433;0,5;8,405000000000003;17,556964285714287;0,6683928571428565
2006-09-28;14,000000000000002;754,65;754,9999999999999;3,0;13,2;14,8;8,65;13,0375;0,24571428571428539;3,122857142857176;3,1228571428572423;0,5714285714285714;0,0800000000000005;0,0799999999999998;39,32285714285714;0,15124999999999963
2006-09-29;12,325000000000001;754,2874999999999;754,6;2,75;11,0;13,45;26,3;10,75;0,9764285714285708;1,0898214285713965;1,0657142857142208;0,5;0,0;0,6049999999999986;359,0628571428571;2,1971428571428584
